step,L_total,loss_vol,loss_rep,loss_bnd,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
10,3.3577613830566406,0.7844325304031372,0.0,0.31925657391548157,3.324546923977323e-06,3.324546923977323e-06,33245.46875,0.18291747570037842,0.18291747570037842,0.06281173974275589,0.06281173974275589,0.18291747570037842,0.06281173974275589,0.18291747570037842,0.06281173974275589,0.3170825242996216,0.4371882677078247,0.02,1.0,0.00020648683130275458,0.1845420002937317,0.7826024293899536,0.0,0.0,0.0,0.0,0.1845420002937317,0.1845420002937317,0.1845420002937317,0.1845420002937317,0.12366003543138504,0.06916280090808868,0.08809465169906616,0.1002698733471334,3.230055570602417,2,nan,-1.0,True,,False,0.0720427930355072,0.0,0.6590284705162048,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
11,3.3258512020111084,0.7793061137199402,0.0,0.3192971646785736,3.2578457194176735e-06,3.2578457194176735e-06,32578.45703125,0.18441438674926758,0.18441438674926758,0.06357761472463608,0.06357761472463608,0.18441438674926758,0.06357761472463608,0.18441438674926758,0.06357761472463608,0.3155856132507324,0.4364223778247833,0.02,1.0,0.00021128254593349993,0.18602971732616425,0.7817088961601257,0.0,0.0,0.0,0.0,0.18602971732616425,0.18602971732616425,0.18602971732616425,0.18602971732616425,0.12379147857427597,0.06916148215532303,0.08811411261558533,0.1002708190586418,3.230055570602417,2,nan,-1.0,True,,False,0.07206814736127853,0.0,0.6592604517936707,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
12,3.3974504470825195,0.7893381714820862,0.0,0.3192738890647888,3.4078641419910127e-06,3.4078641419910127e-06,34078.640625,0.18146462738513947,0.18146462738513947,0.06211929768323898,0.06211929768323898,0.18146462738513947,0.06211929768323898,0.18146462738513947,0.06211929768323898,0.31853538751602173,0.4378806948661804,0.02,1.0,0.00020298657182138413,0.18311791121959686,0.7970626950263977,0.0,0.0,0.0,0.0,0.18311791121959686,0.18311791121959686,0.18311791121959686,0.18311791121959686,0.12250282615423203,0.0691598430275917,0.08813878148794174,0.10027099414728582,3.230055570602417,2,nan,-1.0,True,,False,0.07209447771310806,0.0,0.659501314163208,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
13,3.365474224090576,0.784571647644043,0.0,0.31918641924858093,3.3396547678421484e-06,3.3396547678421484e-06,33396.546875,0.18285712599754333,0.18285712599754333,0.06281968206167221,0.06281968206167221,0.18285712599754333,0.06281968206167221,0.18285712599754333,0.06281968206167221,0.31714287400245667,0.4371803104877472,0.02,1.0,0.0002075390802929178,0.1845003366470337,0.8003908395767212,0.0,0.0,0.0,0.0,0.1845003366470337,0.1845003366470337,0.1845003366470337,0.1845003366470337,0.12254976481199265,0.06915804743766785,0.08816780149936676,0.10027169557288289,3.230055570602417,2,nan,-1.0,True,,False,0.07212155312299728,0.0,0.6597489714622498,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
14,3.3628182411193848,0.7839579582214355,0.0,0.31916242837905884,3.33295088239538e-06,3.33295088239538e-06,33329.5078125,0.18302714824676514,0.18302714824676514,0.06292404234409332,0.06292404234409332,0.18302714824676514,0.06292404234409332,0.18302714824676514,0.06292404234409332,0.31697285175323486,0.43707597255706787,0.02,1.0,0.00020791837596334517,0.1846715360879898,0.8004149794578552,0.0,0.0,0.0,0.0,0.1846715360879898,0.1846715360879898,0.1846715360879898,0.1846715360879898,0.12260328978300095,0.06915603578090668,0.08820084482431412,0.10027191806584597,3.230055570602417,2,nan,-1.0,True,,False,0.07214920967817307,0.0,0.6600019335746765,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
15,3.3897881507873535,0.7875134944915771,0.0,0.3191685378551483,3.389766561667784e-06,3.389766561667784e-06,33897.6640625,0.1819693148136139,0.1819693148136139,0.06242748722434044,0.06242748722434044,0.1819693148136139,0.06242748722434044,0.1819693148136139,0.06242748722434044,0.3180306851863861,0.43757250905036926,0.019999999999999997,1.0,0.00020411555306054652,0.18362611532211304,0.7971452474594116,0.0,0.0,0.0,0.0,0.18362611532211304,0.18362611532211304,0.18362611532211304,0.18362611532211304,0.12265190482139587,0.06915386766195297,0.08823739737272263,0.10027281227521598,3.230055570602417,2,nan,-1.0,True,,False,0.07217731326818466,0.0,0.6602590680122375,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
16,3.381708860397339,0.7881253957748413,0.0,0.3190196752548218,3.3559160783624975e-06,3.3559160783624975e-06,33559.16015625,0.18182533979415894,0.18182533979415894,0.062287211418151855,0.062287211418151855,0.18182533979415894,0.062287211418151855,0.18182533979415894,0.062287211418151855,0.31817466020584106,0.43771278858184814,0.02,1.0,0.00020448234863579273,0.1834644228219986,0.7846626043319702,0.0,0.0,0.0,0.0,0.1834644228219986,0.1834644228219986,0.1834644228219986,0.1834644228219986,0.1234515979886055,0.0691516250371933,0.0882771909236908,0.10026870444416999,3.230055570602417,2,nan,-1.0,True,,False,0.0722058042883873,0.0,0.6605196595191956,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
17,3.35217547416687,0.7820685505867004,0.0,0.31896141171455383,3.305948439447093e-06,3.305948439447093e-06,33059.484375,0.18355104327201843,0.18355104327201843,0.06324562430381775,0.06324562430381775,0.18355104327201843,0.06324562430381775,0.18355104327201843,0.06324562430381775,0.31644895672798157,0.43675437569618225,0.019999999999999997,1.0,0.0002091086789732799,0.18519921600818634,0.8004098534584045,0.0,0.0,0.0,0.0,0.18519921600818634,0.18519921600818634,0.18519921600818634,0.18519921600818634,0.12277466803789139,0.06914938986301422,0.08831993490457535,0.10027340538799763,3.230055570602417,2,nan,-1.0,True,,False,0.07223454862833023,0.0,0.6607826352119446,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
18,3.3899154663085938,0.7887157201766968,0.0,0.3188748061656952,3.372644869159558e-06,3.372644869159558e-06,33726.44921875,0.18163998425006866,0.18163998425006866,0.06221965700387955,0.06221965700387955,0.18163998425006866,0.06221965700387955,0.18163998425006866,0.06221965700387955,0.31836003065109253,0.43778035044670105,0.02,1.0,0.00020529012545011938,0.18329694867134094,0.7972697019577026,0.0,0.0,0.0,0.0,0.18329694867134094,0.18329694867134094,0.18329694867134094,0.18329694867134094,0.12231841683387756,0.0691470205783844,0.08836543560028076,0.10026986873708665,3.230055570602417,2,nan,-1.0,True,,False,0.07226358354091644,0.0,0.6610482335090637,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
19,3.348557233810425,0.7807760834693909,0.0,0.3187597393989563,3.299508534837514e-06,3.299508534837514e-06,32995.0859375,0.18390962481498718,0.18390962481498718,0.0634661614894867,0.0634661614894867,0.18390962481498718,0.0634661614894867,0.18390962481498718,0.0634661614894867,0.3160903751850128,0.4365338385105133,0.02,1.0,0.00020994851365685463,0.1855604201555252,0.8003406524658203,0.0,0.0,0.0,0.0,0.185560405254364,0.185560405254364,0.185560405254364,0.185560405254364,0.12289609760046005,0.06914463639259338,0.08841314166784286,0.10027333172038197,3.230055570602417,2,nan,-1.0,True,,False,0.07229280471801758,0.0,0.6613155603408813,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
