step,L_total,loss_vol,loss_rep,loss_bnd,loss_curve_length,curve_length_min,curve_length_max,curve_length_mean,curve_length_std,curve_length_cv,curve_length_ratio,minimum_length,maximum_length,mean_length,standard_deviation,coefficient_of_variation,maximum_minimum_ratio,minimum_seed_distance,number_of_edges,topology_identifier,loss_cell_edge_uniform,loss_fem,loss_comp,comp,stress_max,stress_p95,stress_p99,stress_norm,disp_field_max,disp_field_p95,disp_field_p99,disp_mean,disp_max,disp_p95,disp_p99,disp_norm,VolFrac,L_FEM_initial,L_FEM_best,L_FEM_norm,compliance_reduction_pct,vol_dev,vol_dev_eff,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,centerline_radius_mean,active_units_total,active_units_mean,active_units_frac_mean,inactive_units_total,inactive_units_mean,inactive_units_frac_mean,anchor_update_allowed,collapse_active
0,17.738515853881836,0.0,0.0002621460007503629,0.0,1.773799180984497,0.0012945211492478848,3.6413352489471436,1.0152015686035156,0.67912757396698,0.6689583576010131,2812.882007422401,0.0012945211492478848,3.6413352489471436,1.0152015686035156,0.67912757396698,0.6689583576010131,2812.882007422401,0.04149385169148445,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04149385169148445,0.00041115417820947187,17.738515853881836,0,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0
1,17.739971160888672,0.0,0.00026212690863758326,0.0,1.773944616317749,0.0013562182430177927,3.6412830352783203,1.0151984691619873,0.6791603565216064,0.6689926917268018,2684.8798517677433,0.0013562182430177927,3.6412830352783203,1.0151984691619873,0.6791603565216064,0.6689926917268018,2684.8798517677433,0.04149385169148445,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999999040128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1466909199953079e-07,0.04149385169148445,0.00041134752768812177,17.738515853881836,0,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
2,17.727401733398438,0.0,0.0002621841267682612,0.0,1.7726877927780151,0.0014026209246367216,3.6410951614379883,1.0151994228363037,0.6791504621505737,0.6689823170438146,2595.9224602192717,0.0014026209246367216,3.6410951614379883,1.0151994228363037,0.6791504621505737,0.6689823170438146,2595.9224602192717,0.04149385169148445,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999996161024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3170723295606876e-07,0.04149385169148445,0.0004117013770610356,17.727401733398438,2,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
3,17.770524978637695,0.0,0.0002622795000206679,0.0,1.7769999504089355,0.0012991497060284019,3.6410343647003174,1.0151828527450562,0.6791055798530579,0.6689490253078598,2802.6287869711587,0.0012991497060284019,3.6410343647003174,1.0151828527450562,0.6791055798530579,0.6689490253078598,2802.6287869711587,0.04149313271045685,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999991363456001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.429013304412365e-07,0.04149313271045685,0.00041105939021690574,17.727401733398438,2,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
4,17.894969940185547,0.0,0.00026238441932946444,0.0,1.7894445657730103,0.0012112834956496954,3.641033887863159,1.0151903629302979,0.6791305541992188,0.6689686772034964,3005.9304043519724,0.0012112834956496954,3.641033887863159,1.0151903629302979,0.6791305541992188,0.6689686772034964,3005.9304043519724,0.04149241745471954,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999984648192001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5516645741372486e-07,0.04149241745471954,0.0004107850968466664,17.727401733398438,2,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
5,17.79574966430664,0.0,0.00026229859213344753,0.0,1.7795225381851196,0.0012587194796651602,3.6409900188446045,1.0151846408843994,0.6791021227836609,0.6689444416653574,2892.6143415315755,0.0012587194796651602,3.6409900188446045,1.0151846408843994,0.6791021227836609,0.6689444416653574,2892.6143415315755,0.04149313271045685,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999976016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.682581445398682e-07,0.04149313271045685,0.0004108054015432572,17.727401733398438,2,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
6,17.015178680419922,0.0,0.0002668523811735213,0.0,1.7014644145965576,0.002293144352734089,3.6402320861816406,1.0152093172073364,0.6791622042655945,0.6689873632502222,1587.44131473513,0.002293144352734089,3.6402320861816406,1.0152093172073364,0.6791622042655945,0.6689873632502222,1587.44131473513,0.04146295785903931,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999965467648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5228232415393e-05,0.04146295785903931,0.00041569920222173096,17.015178680419922,6,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7,17.992626190185547,0.0,0.00027165887877345085,0.0,1.7992082834243774,0.0012491610832512379,3.6408042907714844,1.015203833580017,0.6792284846305847,0.6690562645290177,2914.5995176982524,0.0012491610832512379,3.6408042907714844,1.015203833580017,0.6792284846305847,0.6690562645290177,2914.5995176982524,0.04143203794956207,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999953003904001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013048030086793005,0.04143203794956207,0.000411591196552763,17.015178680419922,6,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
8,18.134233474731445,0.0,0.0002763366501312703,0.0,1.8133680820465088,0.0012047712225466967,3.640848159790039,1.0151984691619873,0.6792557835578918,0.6690866901312361,3022.0245069382213,0.0012047712225466967,3.640848159790039,1.0151984691619873,0.6792557835578918,0.6690866901312361,3022.0245069382213,0.04140253737568855,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999938625536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019570186850614846,0.04140253737568855,0.0004118300562367949,17.015178680419922,6,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
9,17.998188018798828,0.0,0.0002816581691149622,0.0,1.799762487411499,0.0013809100491926074,3.640645742416382,1.0152002573013306,0.6792864799499512,0.6691157484097506,2636.4104921569656,0.0013809100491926074,3.640645742416382,1.0152002573013306,0.6792864799499512,0.6691157484097506,2636.4104921569656,0.04137013107538223,121,44e61ccfd73a4e51,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.20000000298023224,0.20000000298023224,0.09999922333312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026090451865457,0.04137013107538223,0.0004133329384785611,17.015178680419922,6,nan,-1.0,True,,False,0.07780987024307251,0.07780987024307251,40.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
