step,L_total,loss_vol,loss_rep,loss_bnd,loss_fem,loss_comp,comp,vol_frac,vol_frac_internal,vol_frac_eff_total,vol_frac_eff,VF_total,VF_eff_total,VF_int,VF_eff_int,vol_dev,vol_dev_eff,tau,seed_offset_scale,rho_min,rho_mean,rho_max,filter_delta_mean,filter_delta_max,projection_delta_mean,projection_delta_max,rho_raw_mean,rho_filtered_mean,rho_projected_mean,rho_final_mean,drho,dseed,min_seed_dist,grad_mean,best_score,best_step,best_hard_score,best_hard_step,fem_valid,fem_failure_reason,optimizer_step_skipped,w_geo_mean,h_mean,centerline_radius_mean,active_count_total,active_count_mean,active_frac_mean,inactive_count_total,inactive_count_mean,inactive_frac_mean,anchor_update_allowed,collapse_active
17,1695392.0,250.9896697998047,0.0,0.5792469382286072,8474.2568359375,8474.2568359375,8474.2568359375,0.4255531430244446,0.4255531430244446,0.38738101720809937,0.38738101720809937,0.4255531430244446,0.38738101720809937,0.4255531430244446,0.38738101720809937,0.40255314111709595,0.36438101530075073,0.02,0.49915265200000003,0.0,0.4337712228298187,0.9988215565681458,0.01036811899393797,0.10277524590492249,0.1316807121038437,0.268683522939682,0.41112953424453735,0.4115647077560425,0.4337712228298187,0.4337712228298187,0.005716497078537941,0.0010919151827692986,0.2513582408428192,0.05150843356063382,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
18,1695433.625,263.10711669921875,0.0,0.578946590423584,8474.4052734375,8474.4052734375,8474.4052734375,0.4345884621143341,0.4345884621143341,0.39607328176498413,0.39607328176498413,0.4345884621143341,0.39607328176498413,0.4345884621143341,0.39607328176498413,0.4115884602069855,0.3730732798576355,0.02,0.49905132799999996,0.0,0.4425172805786133,0.9989327788352966,0.010548732243478298,0.10300669074058533,0.13290280103683472,0.26868361234664917,0.4181293249130249,0.4185633063316345,0.4425172805786133,0.4425172805786133,0.014957753010094166,0.001140144537203014,0.25135788321495056,0.022047479562590726,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
19,1695505.25,251.08743286132812,0.0,0.5785092711448669,8474.82421875,8474.82421875,8474.82421875,0.425618052482605,0.425618052482605,0.38745197653770447,0.38745197653770447,0.425618052482605,0.38745197653770447,0.425618052482605,0.38745197653770447,0.40261805057525635,0.36445197463035583,0.02,0.498944436,0.0,0.43383458256721497,0.9988217353820801,0.010367265902459621,0.10324549674987793,0.13165166974067688,0.26868361234664917,0.4111749231815338,0.41161012649536133,0.43383458256721497,0.43383458256721497,0.006202363409101963,0.0011811379808932543,0.25139757990837097,0.05192862410816209,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
20,1695506.25,250.75372314453125,0.0,0.5781902074813843,8474.83203125,8474.83203125,8474.83203125,0.4253813624382019,0.4253813624382019,0.3872097134590149,0.3872097134590149,0.4253813624382019,0.3872097134590149,0.4253813624382019,0.3872097134590149,0.40238136053085327,0.36420971155166626,0.02,0.498832,0.0,0.4336065948009491,0.998863160610199,0.010370392352342606,0.10334658622741699,0.13168956339359283,0.26868361234664917,0.41098514199256897,0.4114203453063965,0.4336065948009491,0.4336065948009491,0.006273472215980291,0.0012127087684348226,0.251435786485672,0.05129488274946602,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
21,1695423.875,250.549072265625,0.0,0.5777989625930786,8474.421875,8474.421875,8474.421875,0.42524203658103943,0.42524203658103943,0.38706105947494507,0.38706105947494507,0.42524203658103943,0.38706105947494507,0.42524203658103943,0.38706105947494507,0.4022420346736908,0.36406105756759644,0.02,0.49871404399999997,0.0,0.43347254395484924,0.9988210201263428,0.010371414944529533,0.10332870483398438,0.13168936967849731,0.2686835825443268,0.41085609793663025,0.41129136085510254,0.43347254395484924,0.43347254395484924,0.0064918226562440395,0.0012361699482426047,0.2514721751213074,0.05103851043936124,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
22,1695443.5,250.57144165039062,0.0,0.5773884057998657,8474.521484375,8474.521484375,8474.521484375,0.4252561926841736,0.4252561926841736,0.38707733154296875,0.38707733154296875,0.4252561926841736,0.38707733154296875,0.4252561926841736,0.38707733154296875,0.40225619077682495,0.3640773296356201,0.020000000000000004,0.498590592,0.0,0.4334867596626282,0.9988204836845398,0.010371205396950245,0.10321509838104248,0.13168498873710632,0.26868361234664917,0.41086336970329285,0.4112986922264099,0.4334867596626282,0.4334867596626282,0.006522313691675663,0.0012529926607385278,0.2515086829662323,0.051099042210909024,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
23,1695392.875,250.5417938232422,0.0,0.5769832730293274,8474.26953125,8474.26953125,8474.26953125,0.4252351224422455,0.4252351224422455,0.38705578446388245,0.38705578446388245,0.4252351224422455,0.38705578446388245,0.4252351224422455,0.38705578446388245,0.40223512053489685,0.3640557825565338,0.020000000000000004,0.49846166799999997,0.0,0.4334668815135956,0.9988200664520264,0.01037107314914465,0.10324200987815857,0.13168081641197205,0.2686835527420044,0.41084447503089905,0.4112798273563385,0.4334668815135956,0.4334668815135956,0.006659538485109806,0.001279865624383092,0.2515465021133423,0.05107650177605036,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
24,1695402.0,250.52552795410156,0.0,0.5765888690948486,8474.3154296875,8474.3154296875,8474.3154296875,0.42522281408309937,0.42522281408309937,0.38704395294189453,0.38704395294189453,0.42522281408309937,0.38704395294189453,0.42522281408309937,0.38704395294189453,0.40222281217575073,0.3640439510345459,0.020000000000000004,0.49832729600000003,0.0,0.43345537781715393,0.998819887638092,0.010371726006269455,0.10339111089706421,0.13166944682598114,0.26868361234664917,0.4108278453350067,0.411263108253479,0.43345537781715393,0.43345537781715393,0.0068474505096673965,0.0013152178144082427,0.25158554315567017,0.051094100556737326,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
25,1695454.375,250.42892456054688,0.0,0.5761579275131226,8474.5791015625,8474.5791015625,8474.5791015625,0.4251566231250763,0.4251566231250763,0.3869737684726715,0.3869737684726715,0.4251566231250763,0.3869737684726715,0.4251566231250763,0.3869737684726715,0.40215662121772766,0.3639737665653229,0.020000000000000004,0.4981875,0.0,0.4333917498588562,0.9988200068473816,0.01037178561091423,0.10365051031112671,0.13165265321731567,0.26868361234664917,0.41076719760894775,0.4112025201320648,0.4333917498588562,0.4333917498588562,0.0071384478360414505,0.0013581413077190518,0.25162580609321594,0.051108820808521055,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
26,1695451.5,250.4726104736328,0.0,0.5736579298973083,8474.5712890625,8474.5712890625,8474.5712890625,0.4251718819141388,0.4251718819141388,0.3870055079460144,0.3870055079460144,0.4251718819141388,0.3870055079460144,0.4251718819141388,0.3870055079460144,0.40217188000679016,0.36400550603866577,0.02,0.498042304,0.0,0.43341171741485596,0.9988211393356323,0.010370686650276184,0.10480788350105286,0.13163280487060547,0.2686835527420044,0.410770446062088,0.41120606660842896,0.43341171741485596,0.43341171741485596,0.008415988646447659,0.001592183136381209,0.25150567293167114,0.05097000168785194,1695078.375,2,nan,-1.0,True,,False,0.05099974945187569,0.0,0.46653226017951965,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0
